player_code,pen_now,pen_prev,penalties_order,declared_first,prev_taker,either
440854,0.0,0.0,,0.0,0.0,0.0
440993,2.0,2.0,1.0,1.0,1.0,1.0
441164,0.0,0.0,,0.0,0.0,0.0
441191,0.0,0.0,,0.0,0.0,0.0
441192,0.0,0.0,,0.0,0.0,0.0
441264,0.0,0.0,,0.0,0.0,0.0
441266,0.0,0.0,,0.0,0.0,0.0
441271,0.0,0.0,,0.0,0.0,0.0
441302,0.0,0.0,,0.0,0.0,0.0
441428,0.0,0.0,,0.0,0.0,0.0
443261,0.0,0.0,,0.0,0.0,0.0
444102,0.0,1.0,,0.0,0.0,0.0
444145,0.0,0.0,,0.0,0.0,0.0
444172,0.0,0.0,,0.0,0.0,0.0
444180,0.0,0.0,,0.0,0.0,0.0
444463,0.0,0.0,,0.0,0.0,0.0
444765,0.0,0.0,,0.0,0.0,0.0
444884,0.0,0.0,,0.0,0.0,0.0
445044,0.0,0.0,,0.0,0.0,0.0
445122,0.0,0.0,,0.0,0.0,0.0
446008,0.0,7.0,,0.0,1.0,1.0
447203,0.0,0.0,,0.0,0.0,0.0
448047,2.0,0.0,2.0,0.0,0.0,0.0
448089,0.0,0.0,,0.0,0.0,0.0
448104,0.0,0.0,,0.0,0.0,0.0
448514,0.0,0.0,,0.0,0.0,0.0
449027,0.0,0.0,,0.0,0.0,0.0
449429,0.0,0.0,,0.0,0.0,0.0
449434,0.0,0.0,,0.0,0.0,0.0
449871,0.0,0.0,,0.0,0.0,0.0
450070,0.0,0.0,,0.0,0.0,0.0
450539,0.0,0.0,,0.0,0.0,0.0
451302,0.0,0.0,,0.0,0.0,0.0
451340,0.0,0.0,,0.0,0.0,0.0
