player_code,season,x,nx,pos,si,y,ny,pos_pred,w,player_pred,flat90,delta_vs_pos
93264,2018-19,85.11764705882354,17,MID,2,90.0,13,83.1,0.747742375132532,84.60868020394388,90.0,1.5086802039438822
93264,2019-20,90.0,13,MID,3,90.0,28,83.1,0.6938846251416729,87.88780391347754,90.0,4.787803913477546
93264,2020-21,90.0,28,DEF,4,90.0,34,87.5,0.829995980948208,89.57498995237052,90.0,2.0749899523705153
93264,2021-22,90.0,34,DEF,5,89.70967741935483,31,87.5,0.855666585386568,89.63916646346642,90.0,2.139166463466424
93464,2016-17,87.93333333333334,15,MID,0,87.11538461538461,26,83.1,0.7234109190985335,86.59648610897625,90.0,3.4964861089762564
94147,2018-19,90.0,38,DEF,2,90.0,38,87.5,0.8688672781338241,89.67216819533455,90.0,2.1721681953345495
94147,2019-20,90.0,38,DEF,3,89.27027027027027,37,87.5,0.8688672781338241,89.67216819533455,90.0,2.1721681953345495
94147,2020-21,89.27027027027027,37,DEF,4,89.62162162162163,37,87.5,0.8657987767774127,89.03269783456543,90.0,1.5326978345654254
94147,2021-22,89.62162162162163,37,DEF,5,89.56521739130434,23,87.5,0.8657987767774127,89.33689740478452,90.0,1.8368974047845228
94924,2018-19,79.72727272727273,22,MID,2,84.0,23,83.1,0.7932186122041907,80.42468995338405,90.0,-2.675310046615948
95658,2016-17,88.875,24,DEF,0,90.0,38,87.5,0.8071268463216613,88.60979941369229,90.0,1.1097994136922864
95658,2017-18,90.0,38,DEF,1,90.0,28,87.5,0.8688672781338241,89.67216819533455,90.0,2.1721681953345495
95658,2018-19,90.0,28,DEF,2,90.0,38,87.5,0.829995980948208,89.57498995237052,90.0,2.0749899523705153
95658,2019-20,90.0,38,DEF,3,89.61764705882354,34,87.5,0.8688672781338241,89.67216819533455,90.0,2.1721681953345495
95658,2020-21,89.61764705882354,34,DEF,4,88.35714285714286,28,87.5,0.855666585386568,89.31199982787744,90.0,1.8119998278774432
95658,2023-24,90.0,17,DEF,7,87.0625,16,87.5,0.747742375132532,89.36935593783133,90.0,1.8693559378313296
95658,2024-25,87.0625,16,DEF,8,84.36842105263158,19,87.5,0.736136374297603,87.1779403362448,90.0,-0.3220596637551978
95715,2018-19,81.29166666666667,24,MID,2,82.83333333333333,24,83.1,0.8071268463216613,81.64044561956834,90.0,-1.4595543804316549
95715,2019-20,82.83333333333333,24,MID,3,81.41666666666667,12,83.1,0.8071268463216613,82.88476617431422,90.0,-0.21523382568577176
95715,2020-21,81.41666666666667,12,MID,4,82.88235294117646,17,83.1,0.6766242025254809,81.96101592574877,90.0,-1.1389840742512263
