season,team,opp,md,rest,opp_rest,rest_diff,resid
1516,Everton,Tottenham,20,6.0,6.0,0.0,-0.4183331625298232
1516,Everton,Man City,21,10.0,11.0,-1.0,-0.5912741715168015
1516,Everton,Chelsea,22,2.0,2.0,0.0,0.5007163729453399
1516,Everton,Swansea,23,7.0,5.0,2.0,0.2703409354882107
1516,Everton,Newcastle,24,10.0,11.0,-1.0,-0.6926107273849534
1516,Everton,Stoke,25,2.0,3.0,-1.0,0.9750247138020578
1516,Everton,West Brom,26,7.0,7.0,0.0,0.31054166492700674
1516,Everton,Aston Villa,27,17.0,3.0,14.0,1.1917407893767615
1516,Everton,West Ham,28,3.0,2.0,1.0,-0.254228800568604
1516,Everton,Arsenal,29,13.0,14.0,-1.0,-0.4748291144790545
1516,Everton,Man United,30,15.0,13.0,2.0,-0.2425062542746007
1516,Everton,Watford,31,5.0,7.0,-2.0,0.40244269902047836
1516,Everton,Crystal Palace,32,4.0,4.0,0.0,-0.546696233724854
1516,Everton,Southampton,33,2.0,7.0,-5.0,-1.0767746208168438
1516,Everton,Liverpool,34,4.0,3.0,1.0,-0.8412862003757036
1516,Everton,Bournemouth,35,9.0,7.0,2.0,-0.6309058379628903
1516,Everton,Leicester,36,7.0,6.0,1.0,0.20315117088226087
1516,Everton,Sunderland,37,4.0,4.0,0.0,-0.2153684326165577
1516,Everton,Norwich,38,3.0,3.0,0.0,0.0014012346211964566
1516,Leicester,West Ham,2,7.0,6.0,1.0,0.30161980600379734
1516,Leicester,Tottenham,3,7.0,7.0,0.0,-0.5005284295736
1516,Leicester,Bournemouth,4,7.0,7.0,0.0,-1.3502202866133004
1516,Leicester,Aston Villa,5,15.0,15.0,0.0,-0.7142019190401003
1516,Leicester,Stoke,6,5.0,7.0,-2.0,-1.0783722395532833
1516,Leicester,Arsenal,7,7.0,7.0,0.0,0.14768612662879232
1516,Leicester,Norwich,8,7.0,7.0,0.0,0.6750015109030398
1516,Leicester,Southampton,9,14.0,13.0,1.0,1.4575709374888737
1516,Leicester,Crystal Palace,10,7.0,7.0,0.0,-0.5305298766701954
1516,Leicester,West Brom,11,7.0,7.0,0.0,0.7793311576991513
1516,Leicester,Watford,12,7.0,7.0,0.0,-0.9076699445604317
1516,Leicester,Newcastle,13,14.0,14.0,0.0,1.6989958012355868
1516,Leicester,Man United,14,7.0,7.0,0.0,-0.5495580953735036
1516,Leicester,Swansea,15,6.0,5.0,1.0,0.6187341501735273
1516,Leicester,Chelsea,16,9.0,9.0,0.0,-0.8458921268569518
1516,Leicester,Everton,17,4.0,7.0,-3.0,-1.0251880843259982
1516,Leicester,Liverpool,18,7.0,6.0,1.0,-0.5794244717174896
1516,Leicester,Man City,19,3.0,3.0,0.0,-0.5621416837192647
1516,Leicester,Bournemouth,20,3.0,4.0,-1.0,-0.32324346653971725
1516,Leicester,Tottenham,21,11.0,10.0,1.0,-0.49683571255089887
1516,Leicester,Aston Villa,22,2.0,3.0,-1.0,-0.23119428284783305
1516,Leicester,Stoke,23,6.0,5.0,1.0,0.3692115428822873
1516,Leicester,Liverpool,24,10.0,10.0,0.0,0.017285845604516625
1516,Leicester,Man City,25,3.0,3.0,0.0,1.381045384963944
1516,Leicester,Arsenal,26,7.0,6.0,1.0,-0.45907917316852465
1516,Leicester,Norwich,27,13.0,14.0,-1.0,-0.15431945177774264
1516,Leicester,West Brom,28,3.0,3.0,0.0,1.2750982820724073
1516,Leicester,Watford,29,3.0,2.0,1.0,0.07391930353976695
1516,Leicester,Newcastle,30,8.0,8.0,0.0,-1.083200843895043
1516,Leicester,Crystal Palace,31,5.0,13.0,-8.0,-0.32003492467274697
1516,Leicester,Southampton,32,14.0,13.0,1.0,-0.2405967977801029
1516,Leicester,Sunderland,33,7.0,7.0,0.0,0.9900216910116226
1516,Leicester,West Ham,34,7.0,8.0,-1.0,-0.6548803903736056
1516,Leicester,Swansea,35,7.0,8.0,-1.0,1.3673221200557588
1516,Leicester,Man United,36,6.0,10.0,-4.0,0.002070725505543436
1516,Leicester,Everton,37,6.0,7.0,-1.0,1.1066089043587841
1516,Leicester,Chelsea,38,7.0,3.0,4.0,-0.03450322033659692
1516,Liverpool,Bournemouth,2,8.0,9.0,-1.0,0.48269063997186756
1516,Liverpool,Arsenal,3,7.0,8.0,-1.0,0.3797106161357373
1516,Liverpool,West Ham,4,4.0,7.0,-3.0,-1.1057742103127062
1516,Liverpool,Man United,5,14.0,13.0,1.0,-0.02548652598116008
1516,Liverpool,Norwich,6,7.0,8.0,-1.0,0.17180944341949655
1516,Liverpool,Aston Villa,7,5.0,7.0,-2.0,-0.08051100554213941
1516,Liverpool,Everton,8,7.0,5.0,2.0,-0.07489599228934929
1516,Liverpool,Tottenham,9,12.0,12.0,0.0,-0.26433507213975516
1516,Liverpool,Southampton,10,8.0,8.0,0.0,-0.7868776002952151
1516,Liverpool,Chelsea,11,5.0,6.0,-1.0,-0.306916036336512
1516,Liverpool,Crystal Palace,12,8.0,8.0,0.0,0.4721709422703326
1516,Liverpool,Man City,13,13.0,13.0,0.0,1.6050564538803638
1516,Liverpool,Swansea,14,7.0,8.0,-1.0,-1.3270205710090153
1516,Liverpool,Newcastle,15,6.0,8.0,-2.0,-0.42386269566216883
1516,Liverpool,West Brom,16,7.0,8.0,-1.0,0.5265018062320503
1516,Liverpool,Watford,17,6.0,7.0,-1.0,-0.8847028145687376
1516,Liverpool,Leicester,18,6.0,7.0,-1.0,-0.03786409592386253
1516,Liverpool,Sunderland,19,4.0,4.0,0.0,0.35299747069169496
1516,Liverpool,West Ham,20,2.0,4.0,-2.0,0.5044197664584464
1516,Liverpool,Arsenal,21,11.0,11.0,0.0,0.04480263788043848
1516,Liverpool,Man United,22,3.0,4.0,-1.0,-0.33451130341474533
1516,Liverpool,Norwich,23,5.0,6.0,-1.0,0.034746601628934615
1516,Liverpool,Leicester,24,10.0,10.0,0.0,-0.5763202138258156
1516,Liverpool,Sunderland,25,3.0,3.0,0.0,-0.20422406513981173
1516,Liverpool,Aston Villa,26,7.0,7.0,0.0,0.4857866647314757
1516,Liverpool,Man City,27,17.0,17.0,0.0,-0.07155047461208408
1516,Liverpool,Crystal Palace,28,3.0,4.0,-1.0,0.13429053304187089
1516,Liverpool,Southampton,29,14.0,7.0,7.0,0.090478254056084
1516,Liverpool,Tottenham,30,13.0,13.0,0.0,0.17898814059133938
