season,player_code,role,dc,hit,mins,opp_str,own_str,conceded,is_home
2025-2026,180736,CB,13.0,1.0,90,1.2529139072847681,1.7587671232876714,0.0,True
2025-2026,482609,FB,12.0,1.0,90,1.2529139072847681,1.7587671232876714,0.0,True
2025-2026,179268,FB,12.0,1.0,90,1.2529139072847681,1.7587671232876714,0.0,True
2025-2026,109646,CB,14.0,1.0,90,1.2529139072847681,1.7587671232876714,0.0,True
2025-2026,174874,CB,14.0,1.0,90,1.7197222222222224,1.270763358778626,2.0,False
2025-2026,167074,FB,13.0,1.0,90,1.7197222222222224,1.270763358778626,2.0,False
2025-2026,232892,CB,8.0,0.0,90,1.7197222222222224,1.270763358778626,2.0,False
2025-2026,214048,CB,11.0,1.0,90,1.1952777777777779,1.2106569343065694,0.0,False
2025-2026,613804,FB,9.0,0.0,90,1.1952777777777779,1.2106569343065694,0.0,False
2025-2026,158534,FB,10.0,1.0,90,1.1952777777777779,1.2106569343065694,0.0,False
2025-2026,233963,CB,7.0,0.0,90,1.1952777777777779,1.2106569343065694,0.0,False
2025-2026,575476,CB,13.0,1.0,90,1.238896551724138,1.1928571428571428,3.0,True
2025-2026,159506,FB,6.0,0.0,90,1.238896551724138,1.1928571428571428,3.0,True
2025-2026,227444,CB,7.0,0.0,90,1.238896551724138,1.1928571428571428,3.0,True
2025-2026,215136,FB,10.0,1.0,90,1.238896551724138,1.1928571428571428,3.0,True
2025-2026,523705,FB,5.0,0.0,62,1.2277852348993288,0.9484567901234568,3.0,True
2025-2026,490721,FB,13.0,1.0,74,1.2277852348993288,0.9484567901234568,3.0,True
2025-2026,106611,CB,15.0,1.0,90,0.975608108108108,1.2333802816901407,2.0,False
2025-2026,17761,CB,15.0,1.0,90,0.975608108108108,1.2333802816901407,2.0,False
2025-2026,510362,CB,17.0,1.0,90,1.2277852348993288,0.9484567901234568,3.0,True
2025-2026,512462,CB,10.0,1.0,90,0.975608108108108,1.2333802816901407,2.0,False
2025-2026,231480,CB,13.0,1.0,90,1.2277852348993288,0.9484567901234568,3.0,True
2025-2026,516939,CB,14.0,1.0,90,1.2277852348993288,0.9484567901234568,3.0,True
2025-2026,224967,FB,11.0,1.0,90,0.975608108108108,1.2333802816901407,2.0,False
2025-2026,247348,FB,19.0,1.0,90,1.241111111111111,1.561027397260274,0.0,False
2025-2026,437499,CB,10.0,1.0,90,1.241111111111111,1.561027397260274,0.0,False
2025-2026,199798,FB,10.0,1.0,90,1.5676973684210527,1.2532258064516129,3.0,True
2025-2026,441302,FB,11.0,1.0,83,1.5676973684210527,1.2532258064516129,3.0,True
2025-2026,199796,FB,4.0,0.0,73,1.5676973684210527,1.2532258064516129,3.0,True
2025-2026,149484,CB,6.0,0.0,90,1.5676973684210527,1.2532258064516129,3.0,True
2025-2026,427623,CB,14.0,1.0,90,1.241111111111111,1.561027397260274,0.0,False
2025-2026,209036,CB,14.0,1.0,90,1.241111111111111,1.8621383647798742,0.0,False
2025-2026,244723,FB,12.0,1.0,90,1.241111111111111,1.561027397260274,0.0,False
2025-2026,221466,CB,20.0,1.0,90,1.0653061224489795,1.598169014084507,0.0,False
2025-2026,494521,FB,9.0,0.0,90,1.0653061224489795,1.598169014084507,0.0,False
2025-2026,221632,CB,12.0,1.0,90,1.6012587412587411,1.078201438848921,1.0,True
2025-2026,242882,CB,10.0,1.0,90,1.0653061224489795,1.598169014084507,0.0,False
2025-2026,441164,FB,15.0,1.0,70,1.6012587412587411,1.078201438848921,1.0,True
2025-2026,491279,CB,15.0,1.0,90,1.6012587412587411,1.078201438848921,1.0,True
2025-2026,463981,CB,9.0,0.0,64,1.0653061224489795,1.598169014084507,0.0,False
2025-2026,232859,FB,9.0,0.0,90,1.6012587412587411,1.078201438848921,1.0,True
2025-2026,220237,CB,14.0,1.0,67,1.378445945945946,1.461830985915493,0.0,False
2025-2026,243526,FB,7.0,0.0,79,1.5206081081081082,1.4740853658536586,0.0,True
2025-2026,119471,CB,8.0,0.0,90,1.378445945945946,1.461830985915493,0.0,False
2025-2026,78916,CB,5.0,0.0,90,1.378445945945946,1.461830985915493,0.0,False
2025-2026,222694,CB,7.0,0.0,90,1.5206081081081082,1.4740853658536586,0.0,True
2025-2026,77794,FB,5.0,0.0,61,1.378445945945946,1.461830985915493,0.0,False
2025-2026,441191,FB,7.0,0.0,90,1.378445945945946,1.461830985915493,0.0,False
2025-2026,226182,FB,16.0,1.0,90,1.5206081081081082,1.4740853658536586,0.0,True
2025-2026,214225,CB,10.0,1.0,90,1.5206081081081082,1.4740853658536586,0.0,True
2025-2026,607464,FB,6.0,0.0,90,1.0117021276595746,1.5833962264150943,2.0,False
2025-2026,201895,CB,15.0,1.0,90,1.565845070422535,1.0265625,1.0,True
2025-2026,432830,CB,16.0,1.0,90,1.0117021276595746,1.5833962264150943,2.0,False
2025-2026,487676,FB,11.0,1.0,90,1.565845070422535,1.0265625,1.0,True
2025-2026,434399,CB,12.0,1.0,90,1.565845070422535,1.0265625,1.0,True
2025-2026,444765,CB,15.0,1.0,90,1.0117021276595746,1.5833962264150943,2.0,False
2025-2026,200834,CB,15.0,1.0,90,1.565845070422535,1.0265625,1.0,True
2025-2026,249231,FB,10.0,1.0,71,1.0117021276595746,1.5833962264150943,2.0,False
2025-2026,465351,FB,11.0,1.0,84,1.4670422535211267,1.8621383647798742,2.0,False
2025-2026,469142,CB,10.0,1.0,90,1.8812337662337661,1.5276335877862597,1.0,True
2025-2026,578153,FB,7.0,0.0,84,1.4670422535211267,1.8621383647798742,2.0,False
2025-2026,448514,FB,11.0,1.0,90,1.4670422535211267,1.8621383647798742,2.0,False
2025-2026,111478,CB,5.0,0.0,90,1.8812337662337661,1.5276335877862597,1.0,True
2025-2026,465730,FB,11.0,1.0,90,1.8812337662337661,1.5276335877862597,1.0,True
2025-2026,83299,CB,6.0,0.0,90,1.8812337662337661,1.5276335877862597,1.0,True
2025-2026,216051,FB,9.0,0.0,90,0.8622666666666667,1.7063125,2.0,True
2025-2026,550864,CB,5.0,0.0,84,0.8622666666666667,1.7063125,2.0,True
2025-2026,478969,CB,18.0,1.0,82,1.7102097902097901,0.8541558441558441,3.0,False
2025-2026,106760,FB,6.0,0.0,90,0.8622666666666667,1.7063125,2.0,True
2025-2026,209365,CB,8.0,0.0,90,0.8622666666666667,1.7063125,2.0,True
2025-2026,494960,FB,12.0,1.0,90,1.7102097902097901,0.8541558441558441,3.0,False
2025-2026,58621,FB,10.0,1.0,90,1.7102097902097901,0.8541558441558441,3.0,False
2025-2026,477717,CB,9.0,0.0,90,1.7102097902097901,0.8541558441558441,3.0,False
2025-2026,204716,CB,10.0,1.0,86,0.8622666666666667,1.5653225806451612,0.0,False
2025-2026,97032,CB,7.0,0.0,90,0.8622666666666667,1.5653225806451612,0.0,False
2025-2026,494960,FB,19.0,1.0,90,1.6056953642384106,0.8541558441558441,1.0,True
2025-2026,478969,CB,12.0,1.0,90,1.6056953642384106,0.8541558441558441,1.0,True
2025-2026,477717,CB,15.0,1.0,90,1.6056953642384106,0.8541558441558441,1.0,True
2025-2026,58621,FB,5.0,0.0,90,1.6056953642384106,0.8541558441558441,1.0,True
2025-2026,106611,CB,9.0,0.0,90,1.241111111111111,1.2333802816901407,0.0,True
2025-2026,17761,CB,14.0,1.0,90,1.241111111111111,1.2333802816901407,0.0,True
2025-2026,149484,CB,16.0,1.0,90,1.2277852348993288,1.2532258064516129,0.0,False
2025-2026,512462,CB,9.0,0.0,90,1.241111111111111,1.2333802816901407,0.0,True
2025-2026,515597,FB,10.0,1.0,82,1.2277852348993288,1.2532258064516129,0.0,False
2025-2026,199798,FB,6.0,0.0,90,1.2277852348993288,1.2532258064516129,0.0,False
2025-2026,101188,FB,10.0,1.0,90,1.2277852348993288,1.2532258064516129,0.0,False
2025-2026,199796,FB,4.0,0.0,90,1.2277852348993288,1.2532258064516129,0.0,False
2025-2026,607464,FB,14.0,1.0,82,1.7197222222222224,1.5833962264150943,2.0,True
2025-2026,109646,CB,10.0,1.0,90,1.565845070422535,1.7587671232876714,2.0,False
2025-2026,180736,CB,20.0,1.0,90,1.565845070422535,1.7587671232876714,2.0,False
2025-2026,249231,FB,5.0,0.0,89,1.7197222222222224,1.5833962264150943,2.0,True
2025-2026,444765,CB,8.0,0.0,90,1.7197222222222224,1.5833962264150943,2.0,True
