player_code,understat_player_id,name_fpl,name_understat,team,match_method,confidence,verified
496221,12409,Wharton,Adam Wharton,Crystal Palace,exact_name_team,1.0,True
577016,12535,Acheampong,Josh Acheampong,Chelsea,exact_name_team,1.0,True
660392,12726,Uche,Christantus Uche,Crystal Palace,exact_name_team,1.0,True
609873,12757,Armstrong,Harrison Armstrong,Everton,exact_name_team,1.0,True
467779,12758,Wieffer,Mats Wieffer,Brighton,exact_name_team,1.0,True
592031,12759,Minteh,Yankuba Minteh,Brighton,exact_name_team,1.0,True
500151,12905,Savona,Nicolò Savona,Nott'm Forest,exact_name_team,1.0,True
570526,12912,Bergvall,Lucas Bergvall,Tottenham,exact_name_team,1.0,True
586309,12916,Barry,Thierno Barry,Everton,exact_name_team,1.0,True
444102,12963,Evanilson,Evanilson,Bournemouth,exact_name_team,1.0,True
489706,13038,Devenny,Justin Devenny,Crystal Palace,exact_name_team,1.0,True
485047,13068,Morato,Morato,Nott'm Forest,exact_name_team,1.0,True
606745,13080,Heaven,Ayden Heaven,Man United,exact_name_team,1.0,True
651426,13091,Canvot,Jaydee Canvot,Crystal Palace,exact_name_team,1.0,True
491007,13094,D.Essugo,Dário Essugo,Chelsea,exact_name_team,1.0,True
547037,13150,J.Fletcher,Jack Fletcher,Man United,exact_name_team,1.0,True
219249,13206,O'Riley,Matt O'Riley,Brighton,exact_name_team,1.0,True
502500,13222,Thiago,Thiago,Brentford,exact_name_team,1.0,True
499726,13224,Olusesi,Callum Olusesi,Tottenham,exact_name_team,1.0,True
631786,13262,Kusi-Asare,Jonah Kusi-Asare,Fulham,exact_name_team,1.0,True
494307,13298,Alleyne,Max Alleyne,Man City,exact_name_team,1.0,True
549067,13306,Abbott,Zach Abbott,Nott'm Forest,exact_name_team,1.0,True
485055,13348,Kinsky,Antonín Kinsky,Tottenham,exact_name_team,1.0,True
514254,13364,Gomez,Diego Gómez,Brighton,exact_name_team,1.0,True
606921,13387,Esse,Romain Esse,Crystal Palace,exact_name_team,1.0,True
606798,13392,A.García,Andrés García,Aston Villa,exact_name_team,1.0,True
547676,13467,Fredricson,Tyler Fredricson,Man United,exact_name_team,1.0,True
575901,13474,Soler,Julio Soler,Bournemouth,exact_name_team,1.0,True
567119,13476,Mheuka,Shumaira Mheuka,Chelsea,exact_name_team,1.0,True
599303,13532,Neave,Sean Neave,Newcastle,exact_name_team,1.0,True
597320,13584,Howell,Harry Howell,Brighton,exact_name_team,1.0,True
611922,13692,Ngumoha,Rio Ngumoha,Liverpool,exact_name_team,1.0,True
465730,13711,De Cuyper,Maxim De Cuyper,Brighton,exact_name_team,1.0,True
498016,13712,Roefs,Robin Roefs,Sunderland,exact_name_team,1.0,True
487676,13713,Hume,Trai Hume,Sunderland,exact_name_team,1.0,True
519634,13714,Seelt,Jenson Seelt,Sunderland,exact_name_team,1.0,True
577669,13716,Sadiki,Noah Sadiki,Sunderland,exact_name_team,1.0,True
549912,13717,Talbi,Chemsdine Talbi,Sunderland,exact_name_team,1.0,True
554197,13719,Rigg,Chris Rigg,Sunderland,exact_name_team,1.0,True
624773,13775,Estêvão,Estêvão,Chelsea,exact_name_team,1.0,True
551210,13776,Hato,Jorrel Hato,Chelsea,exact_name_team,1.0,True
590014,13777,Cardines,Rio Cardines,Crystal Palace,exact_name_team,1.0,True
482973,13778,Igor Jesus,Igor Jesus,Nott'm Forest,exact_name_team,1.0,True
543295,13780,Milambo,Antoni Milambo,Brentford,exact_name_team,1.0,True
235826,13835,Piroe,Joël Piroe,Leeds,exact_name_team,1.0,True
645618,13870,Burrowes,Bradley Burrowes,Aston Villa,exact_name_team,1.0,True
616077,13872,Dowman,Max Dowman,Arsenal,exact_name_team,1.0,True
620487,14027,Milosavljević,Veljko Milosavljevic,Bournemouth,exact_name_team,1.0,True
608181,14028,Tzimas,Stefanos Tzimas,Brighton,exact_name_team,1.0,True
549074,14029,Watson,Tom Watson,Brighton,exact_name_team,1.0,True
560552,14030,Kevin,Kevin,Fulham,exact_name_team,1.0,True
590039,14055,Mukasa,Divine Mukasa,Man City,exact_name_team,1.0,True
